similarity,test_idx,train_idx,test_smiles,train_smiles
0.8888888955116272,1845,34094,[H:9][C:1]1([C:2]([C:3]([C:4]1([H:13])[H:14])([C:5]([H:15])([H:16])[C:6]([H:17])([H:18])[N+:7]([H:19])([H:20])[H:21])[O:8][H:22])([H:11])[H:12])[H:10],[H:10][C:1]1([C:2]([C:3]([C:4]([C:5]1([H:16])[H:17])([C:6]([H:18])([H:19])[C:7]([H:20])([H:21])[N+:8]([H:22])([H:23])[H:24])[O:9][H:25])([H:14])[H:15])([H:12])[H:13])[H:11]
0.8888888955116272,532,42153,[H:12][C:1]1([C:2]([C:3]([C:4]2([C:5]([C:6]([C:7]([C:8]([C:9]2([C:10]1([H:27])[H:28])[H:26])([H:24])[H:25])([H:22])[H:23])([H:21])[N:11]([H:29])[H:30])([H:19])[H:20])[H:18])([H:16])[H:17])([H:14])[H:15])[H:13],[H:11][C:1]1([C:2]([C:3]2([C:4]([C:5]([C:6]([C:7]([C:8]2([C:9]1([H:24])[H:25])[H:23])([H:21])[H:22])([H:20])[N:10]([H:26])[H:27])([H:18])[H:19])([H:16])[H:17])[H:15])([H:13])[H:14])[H:12]
0.8888888955116272,971,14230,[H:12][c:1]1[c:2]([c:3]2[c:4]([c:5]([c:6]1[H:14])[Br:7])[O:8][C:9]([C:10]([C:11]2([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[H:13],[H:13][c:1]1[c:2]([c:3]2[c:4]([c:5]([c:6]1[H:15])[Br:7])[O:8][C:9]([C:10]([C:11]([C:12]2([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])([H:16])[H:17])[H:14]
0.8846153616905212,5572,5403,[H:11][C:1]1=[C:2]([N:3]([C:4](=[C:5]1[C:6](=[O:7])[H:14])[C:8]2([C:9]([C:10]2([H:18])[H:19])([H:16])[H:17])[H:15])[H:13])[H:12],[H:12][C:1]1=[C:2]([N:3]([C:4](=[C:5]1[C:6](=[O:7])[H:15])[C:8]2([C:9]([C:10]([C:11]2([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])[H:16])[H:14])[H:13]
0.8846153616905212,6078,26202,[H:23][C:8](=[C:7]1[C:10](=[O:11])[N:2]([C:3]([C:4]([C:5]([C:6]1([H:21])[H:22])([H:19])[H:20])([H:17])[H:18])([H:15])[H:16])[C:1]([H:12])([H:13])[H:14])[O-:9],[H:20][C:7](=[C:6]1[C:9](=[O:10])[N:2]([C:3]([C:4]([C:5]1([H:18])[H:19])([H:16])[H:17])([H:14])[H:15])[C:1]([H:11])([H:12])[H:13])[O-:8]
0.8846153616905212,6273,39017,[H:18][C:8](=[O:9])[C:3]1([C:4](=[O:5])[N:6]([C:7]([C:1]([C:2]1([H:13])[H:14])([H:11])[H:12])([H:16])[H:17])[H:15])[O:10][H:19],[H:21][C:9](=[O:10])[C:7]1([C:5](=[O:6])[N:4]([C:3]([C:2]([C:1]([C:8]1([H:19])[H:20])([H:12])[H:13])([H:14])[H:15])([H:16])[H:17])[H:18])[O:11][H:22]
0.8799999952316284,3746,17155,[H:12][C:1]1([C:2]([C:3]([N:4]([C:5]1([H:17])[H:18])[C:6]([F:7])([F:8])[F:9])([H:16])[C:10]([H:19])([H:20])[N+:11]([H:21])([H:22])[H:23])([H:14])[H:15])[H:13],[H:13][C:1]1([C:2]([C:3]([N:4]([C:5]([C:6]1([H:20])[H:21])([H:19])[C:7]([H:22])([H:23])[N+:8]([H:24])([H:25])[H:26])[C:9]([F:10])([F:11])[F:12])([H:17])[H:18])([H:15])[H:16])[H:14]
0.8799999952316284,6013,12476,[H:13][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:21])[H:22])([H:20])[C:7]([H:23])([H:24])[N:8]([H:25])[H:26])([H:19])[C:9]([F:10])([F:11])[F:12])([H:17])[H:18])([H:15])[H:16])[H:14],[H:12][C:1]1([C:2]([C:3]([N+:4]([C:5]1([H:18])[H:19])([H:17])[C:6]([F:7])([F:8])[F:9])([H:16])[C:10]([H:20])([H:21])[N:11]([H:22])[H:23])([H:14])[H:15])[H:13]
0.8799999952316284,5960,10256,[H:22][C:7]1=[C:6]([C:10]([C:9]([C:8]1([H:23])[H:24])([H:25])[H:26])([H:27])[H:28])[C:2]([C:1]([H:11])([H:12])[H:13])([C:3]([H:14])([H:15])[H:16])[C:4]([H:17])([H:18])[N+:5]([H:19])([H:20])[H:21],[H:23][C:7]1=[C:6]([C:11]([C:10]([C:9]([C:8]1([H:24])[H:25])([H:26])[H:27])([H:28])[H:29])([H:30])[H:31])[C:2]([C:1]([H:12])([H:13])[H:14])([C:3]([H:15])([H:16])[H:17])[C:4]([H:18])([H:19])[N+:5]([H:20])([H:21])[H:22]
0.875,1706,5108,[H:15][C:5]1([C:4]([C:3]([C:6]1([H:17])[H:18])([C:2]([H:11])([H:12])[C:1]([H:8])([H:9])[H:10])[N:7]([H:19])[H:20])([H:13])[H:14])[H:16],[H:16][C:5]1([C:6]([C:7]([C:3]([C:4]1([H:14])[H:15])([C:2]([H:12])([H:13])[C:1]([H:9])([H:10])[H:11])[N:8]([H:22])[H:23])([H:20])[H:21])([H:18])[H:19])[H:17]
0.875,4078,10664,[H:7][C:1]1([C:2]([C:3]([N+:4]([C:5]1([H:14])[H:15])([H:12])[H:13])([H:11])[N:6]([H:16])[H:17])([H:9])[H:10])[H:8],[H:8][C:1]1([C:2]([C:3]([N+:4]([C:5]([C:6]1([H:17])[H:18])([H:16])[N:7]([H:19])[H:20])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9]
